nom,region,departement,sous_prefecture,latitude,longitude,population
"Kayabo","","","","6.6305575","-4.2512488",""
"Akakro","","","","6.6144085","-4.2337287",""
"Ngohinou","","","","6.5453345","-4.506586",""
"Diangobo","","","","6.5222249","-4.5371899",""
"Diékabo","","","","6.5089464","-4.5196292",""
"Anyen","","","","6.5030685","-4.4884668",""
"Agoua","","","","6.4956829","-4.4773984",""
"Angamaki","","","","6.4912695","-4.4438345",""
"Amoikro","","","","6.4135773","-4.6644802",""
"Kongokro","","","","6.4789646","-4.6340434",""
"Akéssémossou","","","","6.6153614","-4.7001102",""
"Kouadiotékro","","","","6.5313044","-4.7696903",""
"Yobouébo","","","","6.5709161","-4.7692198",""
"Ettien-Tiémélékro","","","","6.5208367","-4.6310218",""
"Tontonou-Koffikro","","","","6.5124342","-4.8633956",""
"Didablé","","","","6.4307454","-4.8193964",""
"Didayakro","","","","6.413599","-4.8192236",""
"Andou Mbatto","","","","5.404886","-3.656998",""
"Aprémédji","","","","5.455082","-3.703553",""
"Ingrakon","","","","5.435764","-3.666984",""
"Ngokro","","","","5.359589","-3.639545",""
"Adjékro","","","","5.53393","-3.566865",""
"Alosso I","","","","5.6542001","-3.5493953",""
"Anonkro","","","","5.575678","-3.549317",""
"Bakarikoua","","","","5.519773","-3.851893",""
"Elomoudjé","","","","5.52742","-3.550112",""
"Kouamékro","","","","5.52458","-3.577713",""
"Koutoukro","","","","5.6172389","-3.5834889",""
"Madina","","","","5.563786","-3.520634",""
"Mafia","","","","5.5358484","-3.8500459",""
"Maninkoua","","","","5.5398643","-3.6794084",""
"Monga","","","","5.476233","-3.660699",""
"Montézo","","","","5.485559","-3.740269",""
"Yaokro","","","","5.551305","-3.570605",""
"Abroki","","","","5.545381","-3.633778",""
"Abrotchi","","","","5.542972","-3.634734",""
"Angoubékoua","","","","5.67193","-3.910179",""
"Essanoua","","","","5.645218","-3.926213",""
"Mbohouin","","","","5.5672609","-3.6393019",""
"Nsakoua","","","","5.641043","-3.932248",""
"Yabo Sébakoua","","","","5.674496","-3.909703",""
"Yakassé Komoé","","","","5.5633988","-3.6145675",""
"Yapokoua","","","","5.766689","-3.692165",""
"Bobolilié","","","","5.7371352","-5.9166961",""
"Niakoblognoa","","","","5.711557","-5.9775692",""
"Abouabou","","","","5.293964","-3.907716",""
"Adakié","","","","5.545573","-4.166948",""
"Adaromé","","","","5.580433","-4.190488",""
"Akwè Djèmin","","","","5.3457539","-3.8721706",""
"Nouveau camp CRNA","","","","5.280344","-3.835772",""
"Akakro","","","","5.366298","-3.824586",""
"Akoyaté","","","","5.386254","-3.847329",""
"Assokro","","","","5.439466","-3.911913",""
"Atsin","","","","5.435606","-3.908009",""
"Attinguié","","","","5.467386","-4.185492",""
"Azaguié Blida","","","","5.525609","-4.090801",""
"Bago","","","","5.492848","-4.268679",""
"Bokate","","","","5.322667","-3.833421",""
"Brégbo","","","","5.304061","-3.821878",""
"Halfo","","","","5.578708","-4.072823",""
"Kaotri","","","","5.289091","-3.847508",""
"Kofakoua","","","","5.427509","-3.926063",""
"Aghien-Télégraphe","","","","5.415939","-3.848106",""
"Mafiblé 2","","","","5.27162","-3.848622",""
"Benogosso","","","","5.276125","-3.89054",""
"Mbonouan","","","","5.551846","-4.229478",""
"Mobio","","","","5.364185","-3.908794",""
"Mpody","","","","5.577578","-4.227169",""
"M’Brago 1","","","","5.533377","-4.219351",""
"M’Brago-II","","","","5.538384","-4.198745",""
"Ogriville","","","","5.36627","-3.9128",""
"Sebia Yao","","","","5.324387","-3.837342",""
"Sebia Yao","","","","5.329145","-3.841133",""
"Palmafrique – V2","","","","5.439557","-4.127799",""
"Tapékro","","","","5.444455","-3.916824",""
"Thomasset","","","","5.581748","-4.075437",""
"Yace","","","","5.435053","-3.876487",""
"Yapokoi","","","","5.5202051","-4.0503927",""
"Abadjin-Doumé","","","","5.309618","-4.146694",""
"Abadjin-Kouté","","","","5.330169","-4.152255",""
"Achanti","","","","5.229067","-4.160403",""
"Adiapo Moronou","","","","5.3369736","-4.1851255",""
"Adiapoto-I","","","","5.314307","-4.194963",""
"Adiapoto-II","","","","5.306071","-4.185875",""
"Adiapoté Té","","","","5.308886","-4.175854",""
"Adonkoi","","","","5.413786","-4.210075",""
"Ahoussou Yao","","","","5.389789","-4.223876",""
"Allokoi","","","","5.397383","-4.14884",""
"Anno","","","","5.5256967","-4.4076306",""
"Ayi Maman","","","","5.227337","-4.173352",""
"Ayou Oua","","","","5.359439","-4.18665",""
"Bimbresso","","","","5.3193265","-4.1547255",""
"Diéké","","","","5.23205","-4.136151",""
"Ekouran","","","","5.233958","-4.122926",""
"Kodiako","","","","5.505204","-4.33013",""
"Koffikro","","","","5.290732","-4.243917",""
"Koloukro","","","","5.399742","-4.226692",""
"Adonkoi 2","","","","5.4081","-4.222634",""
"Labion","","","","5.224793","-4.195051",""
"Laka","","","","5.230673","-4.146514",""
"Le Nieky","","","","5.4096369","-4.2698589",""
"Mbrou","","","","5.594744","-4.363343",""
